io_group,tile,io_channel,root_chip,chip_id,network_path,operation,register,expected,actual,exception_class,exception_message,retry_attempted,attempt,status,details
6,5,18,,12,,verify_config,0,16,,,,True,2,FAILED,register 0; expected 16 got None
6,5,18,,12,,verify_config,1,16,,,,True,2,FAILED,register 1; expected 16 got None
6,5,18,,12,,verify_config,2,16,,,,True,2,FAILED,register 2; expected 16 got None
6,5,18,,12,,verify_config,3,16,,,,True,2,FAILED,register 3; expected 16 got None
6,5,18,,12,,verify_config,4,16,,,,True,2,FAILED,register 4; expected 16 got None
6,5,18,,12,,verify_config,5,16,,,,True,2,FAILED,register 5; expected 16 got None
6,5,18,,12,,verify_config,6,16,,,,True,2,FAILED,register 6; expected 16 got None
6,5,18,,12,,verify_config,7,16,,,,True,2,FAILED,register 7; expected 16 got None
6,5,18,,12,,verify_config,8,16,,,,True,2,FAILED,register 8; expected 16 got None
6,5,18,,12,,verify_config,9,16,,,,True,2,FAILED,register 9; expected 16 got None
6,5,18,,12,,verify_config,10,16,,,,True,2,FAILED,register 10; expected 16 got None
6,5,18,,12,,verify_config,11,16,,,,True,2,FAILED,register 11; expected 16 got None
6,5,18,,12,,verify_config,12,16,,,,True,2,FAILED,register 12; expected 16 got None
6,5,18,,12,,verify_config,13,16,,,,True,2,FAILED,register 13; expected 16 got None
6,5,18,,12,,verify_config,14,16,,,,True,2,FAILED,register 14; expected 16 got None
6,5,18,,12,,verify_config,15,16,,,,True,2,FAILED,register 15; expected 16 got None
6,5,18,,12,,verify_config,16,16,,,,True,2,FAILED,register 16; expected 16 got None
6,5,18,,12,,verify_config,17,16,,,,True,2,FAILED,register 17; expected 16 got None
6,5,18,,12,,verify_config,18,16,,,,True,2,FAILED,register 18; expected 16 got None
6,5,18,,12,,verify_config,19,16,,,,True,2,FAILED,register 19; expected 16 got None
6,5,18,,12,,verify_config,20,16,,,,True,2,FAILED,register 20; expected 16 got None
6,5,18,,12,,verify_config,21,16,,,,True,2,FAILED,register 21; expected 16 got None
6,5,18,,12,,verify_config,22,16,,,,True,2,FAILED,register 22; expected 16 got None
6,5,18,,12,,verify_config,23,16,,,,True,2,FAILED,register 23; expected 16 got None
6,5,18,,12,,verify_config,24,16,,,,True,2,FAILED,register 24; expected 16 got None
6,5,18,,12,,verify_config,25,16,,,,True,2,FAILED,register 25; expected 16 got None
6,5,18,,12,,verify_config,26,16,,,,True,2,FAILED,register 26; expected 16 got None
6,5,18,,12,,verify_config,27,16,,,,True,2,FAILED,register 27; expected 16 got None
6,5,18,,12,,verify_config,28,16,,,,True,2,FAILED,register 28; expected 16 got None
6,5,18,,12,,verify_config,29,16,,,,True,2,FAILED,register 29; expected 16 got None
6,5,18,,12,,verify_config,30,16,,,,True,2,FAILED,register 30; expected 16 got None
6,5,18,,12,,verify_config,31,16,,,,True,2,FAILED,register 31; expected 16 got None
6,5,18,,12,,verify_config,32,16,,,,True,2,FAILED,register 32; expected 16 got None
6,5,18,,12,,verify_config,33,16,,,,True,2,FAILED,register 33; expected 16 got None
6,5,18,,12,,verify_config,34,16,,,,True,2,FAILED,register 34; expected 16 got None
6,5,18,,12,,verify_config,35,16,,,,True,2,FAILED,register 35; expected 16 got None
6,5,18,,12,,verify_config,36,16,,,,True,2,FAILED,register 36; expected 16 got None
6,5,18,,12,,verify_config,37,16,,,,True,2,FAILED,register 37; expected 16 got None
6,5,18,,12,,verify_config,38,16,,,,True,2,FAILED,register 38; expected 16 got None
6,5,18,,12,,verify_config,39,16,,,,True,2,FAILED,register 39; expected 16 got None
6,5,18,,12,,verify_config,40,16,,,,True,2,FAILED,register 40; expected 16 got None
6,5,18,,12,,verify_config,41,16,,,,True,2,FAILED,register 41; expected 16 got None
6,5,18,,12,,verify_config,42,16,,,,True,2,FAILED,register 42; expected 16 got None
6,5,18,,12,,verify_config,43,16,,,,True,2,FAILED,register 43; expected 16 got None
6,5,18,,12,,verify_config,44,16,,,,True,2,FAILED,register 44; expected 16 got None
6,5,18,,12,,verify_config,45,16,,,,True,2,FAILED,register 45; expected 16 got None
6,5,18,,12,,verify_config,46,16,,,,True,2,FAILED,register 46; expected 16 got None
6,5,18,,12,,verify_config,47,16,,,,True,2,FAILED,register 47; expected 16 got None
6,5,18,,12,,verify_config,48,16,,,,True,2,FAILED,register 48; expected 16 got None
6,5,18,,12,,verify_config,49,16,,,,True,2,FAILED,register 49; expected 16 got None
6,5,18,,12,,verify_config,50,16,,,,True,2,FAILED,register 50; expected 16 got None
6,5,18,,12,,verify_config,51,16,,,,True,2,FAILED,register 51; expected 16 got None
6,5,18,,12,,verify_config,52,16,,,,True,2,FAILED,register 52; expected 16 got None
6,5,18,,12,,verify_config,53,16,,,,True,2,FAILED,register 53; expected 16 got None
6,5,18,,12,,verify_config,54,16,,,,True,2,FAILED,register 54; expected 16 got None
6,5,18,,12,,verify_config,55,16,,,,True,2,FAILED,register 55; expected 16 got None
6,5,18,,12,,verify_config,56,16,,,,True,2,FAILED,register 56; expected 16 got None
6,5,18,,12,,verify_config,57,16,,,,True,2,FAILED,register 57; expected 16 got None
6,5,18,,12,,verify_config,58,16,,,,True,2,FAILED,register 58; expected 16 got None
6,5,18,,12,,verify_config,59,16,,,,True,2,FAILED,register 59; expected 16 got None
6,5,18,,12,,verify_config,60,16,,,,True,2,FAILED,register 60; expected 16 got None
6,5,18,,12,,verify_config,61,16,,,,True,2,FAILED,register 61; expected 16 got None
6,5,18,,12,,verify_config,62,16,,,,True,2,FAILED,register 62; expected 16 got None
6,5,18,,12,,verify_config,63,16,,,,True,2,FAILED,register 63; expected 16 got None
6,5,18,,12,,verify_config,64,255,,,,True,2,FAILED,register 64; expected 255 got None
6,5,18,,12,,verify_config,65,4,,,,True,2,FAILED,register 65; expected 4 got None
6,5,18,,12,,verify_config,66,0,,,,True,2,FAILED,register 66; expected 0 got None
6,5,18,,12,,verify_config,67,0,,,,True,2,FAILED,register 67; expected 0 got None
6,5,18,,12,,verify_config,68,0,,,,True,2,FAILED,register 68; expected 0 got None
6,5,18,,12,,verify_config,69,0,,,,True,2,FAILED,register 69; expected 0 got None
6,5,18,,12,,verify_config,70,0,,,,True,2,FAILED,register 70; expected 0 got None
6,5,18,,12,,verify_config,71,0,,,,True,2,FAILED,register 71; expected 0 got None
6,5,18,,12,,verify_config,72,0,,,,True,2,FAILED,register 72; expected 0 got None
6,5,18,,12,,verify_config,73,0,,,,True,2,FAILED,register 73; expected 0 got None
6,5,18,,12,,verify_config,74,8,,,,True,2,FAILED,register 74; expected 8 got None
6,5,18,,12,,verify_config,75,8,,,,True,2,FAILED,register 75; expected 8 got None
6,5,18,,12,,verify_config,76,8,,,,True,2,FAILED,register 76; expected 8 got None
6,5,18,,12,,verify_config,77,8,,,,True,2,FAILED,register 77; expected 8 got None
6,5,18,,12,,verify_config,78,8,,,,True,2,FAILED,register 78; expected 8 got None
6,5,18,,12,,verify_config,79,8,,,,True,2,FAILED,register 79; expected 8 got None
6,5,18,,12,,verify_config,80,5,,,,True,2,FAILED,register 80; expected 5 got None
6,5,18,,12,,verify_config,81,0,,,,True,2,FAILED,register 81; expected 0 got None
6,5,18,,12,,verify_config,82,219,,,,True,2,FAILED,register 82; expected 219 got None
6,5,18,,12,,verify_config,83,77,,,,True,2,FAILED,register 83; expected 77 got None
